,단속장소,X,Y,단속건수
36,서울특별시 양천구 신월6동남부순환로83길 1-1,126.8405439,37.51577046,18
37,서울특별시 양천구 신정7 목동제일교회 ,126.855695,37.5151742,586
38,서울특별시 양천구 신정동 영상고,126.860272,37.5232887,14
39,서울특별시 양천구 신정동 양목초교,126.861719,37.5234436,30
40,서울특별시 양천구 신정동 삼천리아파트,126.863698,37.5241848,30
41,서울특별시 양천구 신정동 문창오피스텔,126.864343,37.5239422,43
42,서울특별시 양천구 신정동 댓골마을,126.836399,37.50696647,406
43,서울특별시 양천구 신정동 양천중앙도서관,126.8338816,37.51383742,31
44,서울특별시 양천구 목1 목동센트럴푸르지오 ,126.8765641,37.52386047,59
45,서울특별시 양천구 신정동 대가,126.8590731,37.52670351,16
46,서울특별시 양천구 신정동 디즈니골프,126.8617931,37.52722087,48
47,서울특별시 양천구 신정동 오구공원,126.8616107,37.52808776,72
48,서울특별시 양천구 목동 7단지,126.8675925,37.52781499,38
49,서울특별시 양천구 신정동 MASTER GRADE COFFEE,126.8634298,37.52819685,16
50,서울특별시 양천구 신정동 목장교회,126.857384,37.52753423,31
51,서울특별시 양천구 신정동 고고PC,126.8627629,37.52834637,16
52,서울특별시 양천구 신월동 디아이빌,126.8285365,37.52345084,73
53,서울특별시 양천구 신월동 서울경찰청제4기동대,126.826438,37.5226668,17
54,서울특별시 양천구 목동 KB,126.8663038,37.53930436,207
55,서울특별시 양천구 신월동 태양자동문,126.8401875,37.52639126,28
56,서울특별시 양천구 목동 파리지앙,126.8798537,37.53674937,64
57,서울특별시 양천구 신월동 행복부동산,126.841519,37.51463313,81
58,서울특별시 양천구 신월동 신길운수,126.8382576,37.52961396,414
59,서울특별시 양천구 목동 법안정사,126.8784353,37.53566845,22
60,서울특별시 양천구 신월동 빛고을양천식당,126.8380472,37.52997353,17
61,서울특별시 양천구 목동 파리공원,126.8771469,37.53476264,153
62,서울특별시 양천구 목동 41타워,126.874504,37.5360269,26
63,서울특별시 양천구 신월동 한백리츠빌,126.831214,37.53460308,50
64,서울특별시 양천구 신월동 위프정수기,126.8454124,37.54399785,20
65,서울특별시 양천구 신정동 삼정빌딩,126.853972,37.5170642,21
66,서울특별시 양천구 신월동 청록화랑,126.8366704,37.53251455,14
67,서울특별시 양천구 신정 1동단지어린이공원,126.855695,37.5151742,660
68,서울특별시 양천구 신월동 263,126.828964,37.5358071,26
69,서울특별시 양천구 목동 CBS방송국,126.8740699,37.52809145,383
70,서울특별시 양천구 신정 목동우성아파트,126.8664646,37.50799471,159
71,서울특별시 양천구 목1동 서가앤쿡 목동점,126.8692393,37.52530271,1
72,서울특별시 양천구 신정동 현대힐스테이트,126.8559726,37.52034293,277
73,서울특별시 양천구 신정동 윤정포차,126.8537208,37.51999219,67
74,서울특별시 양천구 신정동 신정쌍용아파트,126.8756209,37.51720716,80
75,서울특별시 양천구 신월동 119공인중개사사무소,126.835818,37.5318525,35
76,서울특별시 양천구 신정동 제이월드,126.860333,37.5208561,157
77,서울특별시 양천구 신정동 한국전력공사,126.8688231,37.51989393,49
78,서울특별시 양천구 신정동 양천공원,126.8682825,37.51816754,27
79,서울특별시 양천구 신정동 강서수도사업소,126.8696676,37.51980015,53
80,서울특별시 양천구 신월동 보람더하임,126.8375704,37.52507481,75
81,서울특별시 양천구 신월동 신세계부동산,126.8324214,37.5325953,29
82,서울특별시 양천구 신월동 강서초등학교,126.8409412,37.52263714,38
83,서울특별시 양천구 신월동 강서초교,126.840963,37.5223991,13
84,서울특별시 양천구 신정동 통합관제센터,126.84144036910035,37.51147278889875,23
85,서울특별시 양천구 목목동5단지아파트,126.8803674,37.53447011,100
86,서울특별시 양천구 신정동 지향초교,126.837296,37.5131589,18
87,서울특별시 양천구 목동 현대파리지앙,126.8799288,37.53674086,30
88,서울특별시 양천구 목동 1001안경,126.874504,37.5360269,44
89,서울특별시 양천구 신정3 목동메디컬복합센터,126.8737257,37.54435342,167
90,서울특별시 양천구 신정 4동목동로11길 14-1,126.855695,37.5151742,28
91,서울특별시 양천구 신정동 1065,126.8613709,37.52675527,42
92,서울특별시 양천구 신정동 은행정로 88,126.858917,37.5276569,15
93,서울특별시 양천구 신정 3동로마아파트,126.855695,37.5151742,65
94,서울특별시 양천구 신월1동곰달래로6길 5-1,126.834302,37.5265885,18
