,단속장소,X,Y,단속건수,number,dis,xy
49,서울특별시 양천구 신정동 현대힐스테이트,126.8559726,37.52034293,277,49,464.551126302605,"(126.8559726, 37.52034293)"
50,서울특별시 양천구 신정동 서울 양천구 신정동 1093,126.854404,37.5213985,58,50,481.4548585425602,"(126.854404, 37.5213985)"
51,서울특별시 양천구 신정동 311-4,126.856818,37.5190859,46,51,532.1596520568224,"(126.856818, 37.5190859)"
52,서울특별시 양천구 신정동 1323 목동힐스테이트,126.854849,37.5198043,501,52,544.1411889726382,"(126.854849, 37.5198043)"
53,서울특별시 양천구 신정동 양명어린이공원,126.8545492,37.51948183,169,53,578.893591974737,"(126.8545492, 37.51948183)"
54,서울특별시 양천구 신정동 윤정포차,126.8537208,37.51999219,67,54,602.1476603302142,"(126.8537208, 37.51999219)"
55,서울특별시 양천구 신정동 서울 양천구 신정동 1092,126.851925,37.5222874,63,55,657.0223221060709,"(126.851925, 37.5222874)"
56,서울특별시 양천구 신정동 신정기독교 백화점 ,126.852776,37.51993246,261,56,675.4710019570624,"(126.852776, 37.51993246)"
57,서울특별시 양천구 신정동 310-9,126.857095,37.5164824,173,57,704.9024249994433,"(126.857095, 37.5164824)"
58,서울특별시 양천구 신정동 육쌈냉면,126.853188,37.5186579,40,58,708.7180188353482,"(126.853188, 37.5186579)"
59,서울특별시 양천구 신정 1동중앙로36길 34-1,126.855695,37.5151742,599,59,807.3372864752039,"(126.855695, 37.5151742)"
60,서울특별시 양천구 신정동 311,126.857833,37.5149876,131,60,808.7596214910558,"(126.857833, 37.5149876)"
61,서울특별시 양천구 신정동 래미안아델리체,126.85099,37.5201508,160,61,820.3144679697941,"(126.85099, 37.5201508)"
62,서울특별시 양천구 신정동 신트리1단지아파트,126.854566,37.51406624,79,62,910.6096258518268,"(126.854566, 37.51406624)"
63,서울특별시 양천구 신정동 326,126.86027,37.5120803,106,63,0.0,"(126.86027, 37.5120803)"
64,서울특별시 양천구 신정동 326-4,126.8592545,37.51265188,103,64,119.18111038899264,"(126.8592545, 37.51265188)"
65,서울특별시 양천구 신정 목동10단지아파트,126.860296,37.5163781,160,65,286.686947899833,"(126.860296, 37.5163781)"
66,서울특별시 양천구 신정동 323-1,126.8629928,37.51631785,38,66,414.2014749749751,"(126.8629928, 37.51631785)"
67,서울특별시 양천구 신정동 311-5,126.860212,37.5189819,68,67,460.3960730770676,"(126.860212, 37.5189819)"
68,서울특별시 양천구 신정동 제이월드,126.860333,37.5208561,157,68,585.4066300918795,"(126.860333, 37.5208561)"
69,서울특별시 양천구 신정동 313-4,126.864035,37.5192387,45,69,635.0392210093027,"(126.864035, 37.5192387)"
70,서울특별시 양천구 신정동 312,126.864023,37.5194099,124,70,642.8030260104886,"(126.864023, 37.5194099)"
71,서울특별시 양천구 신정동 서울영상고등학교,126.8600909,37.52332583,60,71,750.3632214327514,"(126.8600909, 37.52332583)"
72,서울특별시 양천구 신정동 양목초등학교,126.861719,37.5234436,110,72,774.904393694287,"(126.861719, 37.5234436)"
73,서울특별시 양천구 신정동 문창오피스텔,126.864343,37.5239422,43,73,911.6987283596092,"(126.864343, 37.5239422)"
74,서울특별시 양천구 신정4동 진명여고 ,126.8650214,37.52419818,145,74,965.6794691056276,"(126.8650214, 37.52419818)"
75,서울특별시 양천구 신정동 1065,126.8613709,37.52675527,42,75,986.4886155400616,"(126.8613709, 37.52675527)"
76,서울특별시 양천구 신정동 동일빌딩,126.861679,37.5267412,41,76,990.3996825472594,"(126.861679, 37.5267412)"
77,서울특별시 양천구 신정동 이차돌,126.863117,37.5264816,47,77,1011.4473418076832,"(126.863117, 37.5264816)"
78,서울특별시 양천구 신정동 디즈니골프,126.8617931,37.52722087,48,78,1024.0279112146006,"(126.8617931, 37.52722087)"
79,서울특별시 양천구 신정동 오구어린이공원,126.86195,37.5273002,112,79,1032.2630578171918,"(126.86195, 37.5273002)"
80,서울특별시 양천구 신정동 노브랜드버거,126.8634243,37.52670331,50,80,1036.5650331958448,"(126.8634243, 37.52670331)"
81,서울특별시 양천구 신정동 밀레,126.861915,37.5278317,99,81,1066.475019457821,"(126.861915, 37.5278317)"
82,서울특별시 양천구 신정동 포차천국,126.8615749,37.52794185,75,82,1067.9179664231615,"(126.8615749, 37.52794185)"
83,서울특별시 양천구 신정동 오구공원,126.8616107,37.52808776,72,83,1078.104861504727,"(126.8616107, 37.52808776)"
84,서울특별시 양천구 신정4동 홍익병원 ,126.8635331,37.52862207,159,84,1161.5390305399285,"(126.8635331, 37.52862207)"
85,서울특별시 양천구 신정동 홍익병원 ,126.8636336,37.52860262,123,85,1163.8508264232808,"(126.8636336, 37.52860262)"
86,서울특별시 양천구 신정동 337-16,126.8651986,37.50789003,45,86,0.0,"(126.8651986, 37.50789003)"
87,서울특별시 양천구 신정 목동2차우성아파트,126.8664324,37.50793513,43,87,137.2254761449899,"(126.8664324, 37.50793513)"
88,서울특별시 양천구 신정동 우성아파트,126.8664646,37.50796066,56,88,140.85180293293277,"(126.8664646, 37.50796066)"
89,서울특별시 양천구 신정 목동우성아파트,126.8664646,37.50799471,159,89,140.94607380882525,"(126.8664646, 37.50799471)"
90,서울특별시 양천구 신정동 212-1,126.866868,37.5098806,117,90,228.23701357069407,"(126.866868, 37.5098806)"
91,서울특별시 양천구 신정동 서부식자재마트,126.86714,37.5099169,243,91,254.72485023726983,"(126.86714, 37.5099169)"
92,서울특별시 양천구 신정동 산공원,126.869123,37.5078108,92,92,436.4059834001156,"(126.869123, 37.5078108)"
93,서울특별시 양천구 신정동 331-2,126.873839,37.514159,63,93,0.0,"(126.873839, 37.514159)"
94,서울특별시 양천구 신정동 신정쌍용아파트,126.8756209,37.51720716,80,94,283.94574345051166,"(126.8756209, 37.51720716)"
95,서울특별시 양천구 신정동 강서수도사업소,126.8696676,37.51980015,53,95,597.3328272076393,"(126.8696676, 37.51980015)"
96,서울특별시 양천구 신정동 한국전력공사,126.8688231,37.51989393,49,96,676.3754120815028,"(126.8688231, 37.51989393)"
97,서울특별시 양천구 신정동 제이월드빌,126.869528,37.5216146,53,97,690.8189239940095,"(126.869528, 37.5216146)"
98,서울특별시 양천구 목동 405-205,126.871673,37.5242298,69,98,713.7994747368389,"(126.871673, 37.5242298)"
99,서울특별시 양천구 목1 목동센트럴푸르지오 ,126.8765641,37.52386047,59,99,714.7448283829133,"(126.8765641, 37.52386047)"
100,서울특별시 양천구 목5동국민은행공영주차장,126.8692331,37.5222606,68,100,744.6339316116789,"(126.8692331, 37.5222606)"
101,서울특별시 양천구 신정 목동9단지아파트,126.866468,37.518773,63,101,875.5210745405049,"(126.866468, 37.518773)"
102,서울특별시 양천구 목동 진도아파트,126.868562,37.5244246,54,102,901.8924917974202,"(126.868562, 37.5244246)"
103,서울특별시 양천구 목동 목1동 서가앤쿡 목동점,126.86925,37.52531973,237,103,902.7002604226552,"(126.86925, 37.52531973)"
104,서울특별시 양천구 목동 방송회관,126.8713877,37.52709253,101,104,904.9661618127176,"(126.8713877, 37.52709253)"
105,서울특별시 양천구 목동 CBS방송국,126.8740699,37.52809145,383,105,929.9741745477256,"(126.8740699, 37.52809145)"
106,서울특별시 양천구 목목동타운,126.874868,37.5282878,447,106,949.6477856469324,"(126.874868, 37.5282878)"
107,서울특별시 양천구 목목동성원아파트,126.869316,37.5263806,151,107,958.0476432171496,"(126.869316, 37.5263806)"
108,서울특별시 양천구 목동 세신프라자,126.870592,37.5280038,103,108,991.7872385913688,"(126.870592, 37.5280038)"
109,서울특별시 양천구 목동 7단지,126.8675925,37.52781499,38,109,1145.6671487685824,"(126.8675925, 37.52781499)"
110,서울특별시 양천구 목동 서울 양천구 목동 913-7,126.878934,37.531833,43,110,0.0,"(126.878934, 37.531833)"
111,서울특별시 양천구 목목동5단지아파트,126.8803674,37.53447011,100,111,237.0,"(126.8803674, 37.53447011)"
112,서울특별시 양천구 목동 벽산미라지타워,126.879482,37.535888,57,112,277.0,"(126.879482, 37.535888)"
113,서울특별시 양천구 목동 파리공원,126.8771469,37.53476264,153,113,278.0,"(126.8771469, 37.53476264)"
114,서울특별시 양천구 목동 일번가빌딩,126.879165,37.5362571,348,114,296.0,"(126.879165, 37.5362571)"
115,서울특별시 양천구 목5동목동615동,126.879867,37.5360326,123,115,298.0,"(126.879867, 37.5360326)"
116,서울특별시 양천구 목5동 현대파크빌 ,126.880252,37.5358528,159,116,305.0,"(126.880252, 37.5358528)"
117,서울특별시 양천구 목동 양지빌딩,126.879481,37.5363565,69,117,307.0,"(126.879481, 37.5363565)"
118,서울특별시 양천구 목동 현대월드타워,126.8779576,37.5361722,97,118,309.0,"(126.8779576, 37.5361722)"
119,서울특별시 양천구 목5동우리공영주차장,126.8792287,37.53684069,202,119,335.0,"(126.8792287, 37.53684069)"
120,서울특별시 양천구 목동 파리지앙,126.8798537,37.53674937,64,120,343.0,"(126.8798537, 37.53674937)"
121,서울특별시 양천구 목동 912,126.881859,37.5351426,63,121,393.0,"(126.881859, 37.5351426)"
122,서울특별시 양천구 목동 901,126.8794469,37.53938865,76,122,507.0,"(126.8794469, 37.53938865)"
123,서울특별시 양천구 목 동 901,126.8794147,37.53940566,63,123,508.0,"(126.8794147, 37.53940566)"
124,서울특별시 양천구 목 동 912-3,126.883741,37.532829,38,124,538.0,"(126.883741, 37.532829)"
125,서울특별시 양천구 목동 1001안경,126.874504,37.5360269,44,125,566.0,"(126.874504, 37.5360269)"
126,서울특별시 양천구 목동 목양의교회,126.8730084,37.53847977,49,126,794.0,"(126.8730084, 37.53847977)"
127,서울특별시 양천구 목동 901-3,126.872374,37.5374572,92,127,820.0,"(126.872374, 37.5374572)"
128,서울특별시 양천구 목극동늘푸른아파트,126.871422,37.5385193,97,128,946.0,"(126.871422, 37.5385193)"
129,서울특별시 양천구 목목동초원성원아파트,126.8708634,37.53898423,112,129,1016.0,"(126.8708634, 37.53898423)"
130,서울특별시 양천구 목4동보미리즌빌,126.866318,37.5391353,49,130,1485.0,"(126.866318, 37.5391353)"
131,서울특별시 양천구 목동 KB,126.8663038,37.53930436,207,131,1490.0,"(126.8663038, 37.53930436)"
132,서울특별시 양천구 목목동2차성원아파트,126.8641541,37.54228853,62,132,0.0,"(126.8641541, 37.54228853)"
133,서울특별시 양천구 목동 성원아파트,126.8631719,37.54285308,92,133,115.52636714456878,"(126.8631719, 37.54285308)"
134,서울특별시 양천구 목동 현대파크빌 ,126.8671648,37.54232325,143,134,334.78304039561,"(126.8671648, 37.54232325)"
135,서울특별시 양천구 목3동 보미진온누리약국 ,126.864092,37.5495302,118,135,483.1272679046816,"(126.864092, 37.5495302)"
136,서울특별시 양천구 목동 보미진온누리약국 ,126.8640815,37.54968571,103,136,493.517661633837,"(126.8640815, 37.54968571)"
137,서울특별시 양천구 목목동대우마이빌,126.866933,37.5495335,177,137,573.6492487430135,"(126.866933, 37.5495335)"
138,서울특별시 양천구 신정3 목동메디컬복합센터,126.8737257,37.54435342,167,138,1073.1933450677727,"(126.8737257, 37.54435342)"
139,서울특별시 양천구 목2동어바니엘,126.874772,37.54679641,71,139,1218.361230706016,"(126.874772, 37.54679641)"
