,단속장소,X,Y,단속건수,number,dis,xy,dis_to_next_num
120,서울특별시 양천구 목동 파리지앙,126.8798537,37.53674937,64,120,343,"(126.8798537, 37.53674937)",247
121,서울특별시 양천구 목동 912,126.881859,37.5351426,63,121,393,"(126.881859, 37.5351426)",390
122,서울특별시 양천구 목동 901,126.8794469,37.53938865,76,122,507,"(126.8794469, 37.53938865)",3
123,서울특별시 양천구 목 동 901,126.8794147,37.53940566,63,123,508,"(126.8794147, 37.53940566)",651
124,서울특별시 양천구 목 동 912-3,126.883741,37.532829,38,124,538,"(126.883741, 37.532829)",1049
125,서울특별시 양천구 목동 1001안경,126.874504,37.5360269,44,125,566,"(126.874504, 37.5360269)",233
126,서울특별시 양천구 목동 목양의교회,126.8730084,37.53847977,49,126,794,"(126.8730084, 37.53847977)",98
127,서울특별시 양천구 목동 901-3,126.872374,37.5374572,92,127,820,"(126.872374, 37.5374572)",127
128,서울특별시 양천구 목극동늘푸른아파트,126.871422,37.5385193,97,128,946,"(126.871422, 37.5385193)",69
129,서울특별시 양천구 목목동초원성원아파트,126.8708634,37.53898423,112,129,1016,"(126.8708634, 37.53898423)",505
130,서울특별시 양천구 목4동보미리즌빌,126.866318,37.5391353,49,130,1485,"(126.866318, 37.5391353)",11
131,서울특별시 양천구 목동 KB,126.8663038,37.53930436,207,131,1490,"(126.8663038, 37.53930436)",311
132,서울특별시 양천구 목목동2차성원아파트,126.8641541,37.54228853,62,132,0,"(126.8641541, 37.54228853)",115
133,서울특별시 양천구 목동 성원아파트,126.8631719,37.54285308,92,133,115,"(126.8631719, 37.54285308)",445
134,서울특별시 양천구 목동 현대파크빌 ,126.8671648,37.54232325,143,134,334,"(126.8671648, 37.54232325)",589
135,서울특별시 양천구 목3동 보미진온누리약국 ,126.864092,37.5495302,118,135,483,"(126.864092, 37.5495302)",10
136,서울특별시 양천구 목동 보미진온누리약국 ,126.8640815,37.54968571,103,136,493,"(126.8640815, 37.54968571)",317
137,서울특별시 양천구 목목동대우마이빌,126.866933,37.5495335,177,137,573,"(126.866933, 37.5495335)",830
138,서울특별시 양천구 신정3 목동메디컬복합센터,126.8737257,37.54435342,167,138,1073,"(126.8737257, 37.54435342)",200
139,서울특별시 양천구 목2동어바니엘,126.874772,37.54679641,71,139,1218,"(126.874772, 37.54679641)",0
