,단속장소,X,Y,단속건수,number,dis,xy,dis_to_next_num
90,서울특별시 양천구 신정동 212-1,126.866868,37.5098806,117,90,228,"(126.866868, 37.5098806)",30
91,서울특별시 양천구 신정동 서부식자재마트,126.86714,37.5099169,243,91,254,"(126.86714, 37.5099169)",261
92,서울특별시 양천구 신정동 산공원,126.869123,37.5078108,92,92,436,"(126.869123, 37.5078108)",674
93,서울특별시 양천구 신정동 331-2,126.873839,37.514159,63,93,0,"(126.873839, 37.514159)",283
94,서울특별시 양천구 신정동 신정쌍용아파트,126.8756209,37.51720716,80,94,283,"(126.8756209, 37.51720716)",684
95,서울특별시 양천구 신정동 강서수도사업소,126.8696676,37.51980015,53,95,597,"(126.8696676, 37.51980015)",94
96,서울특별시 양천구 신정동 한국전력공사,126.8688231,37.51989393,49,96,676,"(126.8688231, 37.51989393)",139
97,서울특별시 양천구 신정동 제이월드빌,126.869528,37.5216146,53,97,690,"(126.869528, 37.5216146)",295
98,서울특별시 양천구 목동 405-205,126.871673,37.5242298,69,98,713,"(126.871673, 37.5242298)",544
99,서울특별시 양천구 목1 목동센트럴푸르지오 ,126.8765641,37.52386047,59,99,714,"(126.8765641, 37.52386047)",822
100,서울특별시 양천구 목5동국민은행공영주차장,126.8692331,37.5222606,68,100,744,"(126.8692331, 37.5222606)",385
101,서울특별시 양천구 신정 목동9단지아파트,126.866468,37.518773,63,101,875,"(126.866468, 37.518773)",443
102,서울특별시 양천구 목동 진도아파트,126.868562,37.5244246,54,102,901,"(126.868562, 37.5244246)",97
103,서울특별시 양천구 목동 목1동 서가앤쿡 목동점,126.86925,37.52531973,237,103,902,"(126.86925, 37.52531973)",265
104,서울특별시 양천구 목동 방송회관,126.8713877,37.52709253,101,104,904,"(126.8713877, 37.52709253)",305
105,서울특별시 양천구 목동 CBS방송국,126.8740699,37.52809145,383,105,929,"(126.8740699, 37.52809145)",89
106,서울특별시 양천구 목목동타운,126.874868,37.5282878,447,106,949,"(126.874868, 37.5282878)",630
107,서울특별시 양천구 목목동성원아파트,126.869316,37.5263806,151,107,958,"(126.869316, 37.5263806)",178
108,서울특별시 양천구 목동 세신프라자,126.870592,37.5280038,103,108,991,"(126.870592, 37.5280038)",333
109,서울특별시 양천구 목동 7단지,126.8675925,37.52781499,38,109,1145,"(126.8675925, 37.52781499)",1289
110,서울특별시 양천구 목동 서울 양천구 목동 913-7,126.878934,37.531833,43,110,0,"(126.878934, 37.531833)",237
111,서울특별시 양천구 목목동5단지아파트,126.8803674,37.53447011,100,111,237,"(126.8803674, 37.53447011)",136
112,서울특별시 양천구 목동 벽산미라지타워,126.879482,37.535888,57,112,277,"(126.879482, 37.535888)",270
113,서울특별시 양천구 목동 파리공원,126.8771469,37.53476264,153,113,278,"(126.8771469, 37.53476264)",245
114,서울특별시 양천구 목동 일번가빌딩,126.879165,37.5362571,348,114,296,"(126.879165, 37.5362571)",79
115,서울특별시 양천구 목5동목동615동,126.879867,37.5360326,123,115,298,"(126.879867, 37.5360326)",44
116,서울특별시 양천구 목5동 현대파크빌 ,126.880252,37.5358528,159,116,305,"(126.880252, 37.5358528)",92
117,서울특별시 양천구 목동 양지빌딩,126.879481,37.5363565,69,117,307,"(126.879481, 37.5363565)",169
118,서울특별시 양천구 목동 현대월드타워,126.8779576,37.5361722,97,118,309,"(126.8779576, 37.5361722)",148
119,서울특별시 양천구 목5동우리공영주차장,126.8792287,37.53684069,202,119,335,"(126.8792287, 37.53684069)",69
