,단속장소,X,Y,단속건수,number,dis,xy,dis_to_next_num
47,서울특별시 양천구 신월동 귀족,126.857097,37.5270511,57,47,0,"(126.857097, 37.5270511)",403
48,서울특별시 양천구 신정동 태평양약국 ,126.855775,37.52141534,197,48,403,"(126.855775, 37.52141534)",74
49,서울특별시 양천구 신정동 현대힐스테이트,126.8559726,37.52034293,277,49,464,"(126.8559726, 37.52034293)",188
50,서울특별시 양천구 신정동 서울 양천구 신정동 1093,126.854404,37.5213985,58,50,481,"(126.854404, 37.5213985)",309
51,서울특별시 양천구 신정동 311-4,126.856818,37.5190859,46,51,532,"(126.856818, 37.5190859)",224
52,서울특별시 양천구 신정동 1323 목동힐스테이트,126.854849,37.5198043,501,52,544,"(126.854849, 37.5198043)",39
53,서울특별시 양천구 신정동 양명어린이공원,126.8545492,37.51948183,169,53,578,"(126.8545492, 37.51948183)",98
54,서울특별시 양천구 신정동 윤정포차,126.8537208,37.51999219,67,54,602,"(126.8537208, 37.51999219)",251
55,서울특별시 양천구 신정동 서울 양천구 신정동 1092,126.851925,37.5222874,63,55,657,"(126.851925, 37.5222874)",183
56,서울특별시 양천구 신정동 신정기독교 백화점 ,126.852776,37.51993246,261,56,675,"(126.852776, 37.51993246)",532
57,서울특별시 양천구 신정동 310-9,126.857095,37.5164824,173,57,704,"(126.857095, 37.5164824)",458
58,서울특별시 양천구 신정동 육쌈냉면,126.853188,37.5186579,40,58,708,"(126.853188, 37.5186579)",362
59,서울특별시 양천구 신정 1동중앙로36길 34-1,126.855695,37.5151742,599,59,807,"(126.855695, 37.5151742)",238
60,서울특별시 양천구 신정동 311,126.857833,37.5149876,131,60,808,"(126.857833, 37.5149876)",835
61,서울특별시 양천구 신정동 래미안아델리체,126.85099,37.5201508,160,61,820,"(126.85099, 37.5201508)",568
62,서울특별시 양천구 신정동 신트리1단지아파트,126.854566,37.51406624,79,62,910,"(126.854566, 37.51406624)",647
63,서울특별시 양천구 신정동 326,126.86027,37.5120803,106,63,0,"(126.86027, 37.5120803)",119
64,서울특별시 양천구 신정동 326-4,126.8592545,37.51265188,103,64,119,"(126.8592545, 37.51265188)",274
65,서울특별시 양천구 신정 목동10단지아파트,126.860296,37.5163781,160,65,286,"(126.860296, 37.5163781)",299
66,서울특별시 양천구 신정동 323-1,126.8629928,37.51631785,38,66,414,"(126.8629928, 37.51631785)",356
67,서울특별시 양천구 신정동 311-5,126.860212,37.5189819,68,67,460,"(126.860212, 37.5189819)",125
68,서울특별시 양천구 신정동 제이월드,126.860333,37.5208561,157,68,585,"(126.860333, 37.5208561)",425
69,서울특별시 양천구 신정동 313-4,126.864035,37.5192387,45,69,635,"(126.864035, 37.5192387)",11
70,서울특별시 양천구 신정동 312,126.864023,37.5194099,124,70,642,"(126.864023, 37.5194099)",509
71,서울특별시 양천구 신정동 서울영상고등학교,126.8600909,37.52332583,60,71,750,"(126.8600909, 37.52332583)",181
72,서울특별시 양천구 신정동 양목초등학교,126.861719,37.5234436,110,72,774,"(126.861719, 37.5234436)",293
73,서울특별시 양천구 신정동 문창오피스텔,126.864343,37.5239422,43,73,911,"(126.864343, 37.5239422)",77
74,서울특별시 양천구 신정4동 진명여고 ,126.8650214,37.52419818,145,74,965,"(126.8650214, 37.52419818)",440
75,서울특별시 양천구 신정동 1065,126.8613709,37.52675527,42,75,986,"(126.8613709, 37.52675527)",34
76,서울특별시 양천구 신정동 동일빌딩,126.861679,37.5267412,41,76,990,"(126.861679, 37.5267412)",160
77,서울특별시 양천구 신정동 이차돌,126.863117,37.5264816,47,77,1011,"(126.863117, 37.5264816)",155
78,서울특별시 양천구 신정동 디즈니골프,126.8617931,37.52722087,48,78,1024,"(126.8617931, 37.52722087)",18
79,서울특별시 양천구 신정동 오구어린이공원,126.86195,37.5273002,112,79,1032,"(126.86195, 37.5273002)",168
80,서울특별시 양천구 신정동 노브랜드버거,126.8634243,37.52670331,50,80,1036,"(126.8634243, 37.52670331)",183
81,서울특별시 양천구 신정동 밀레,126.861915,37.5278317,99,81,1066,"(126.861915, 37.5278317)",38
82,서울특별시 양천구 신정동 포차천국,126.8615749,37.52794185,75,82,1067,"(126.8615749, 37.52794185)",10
83,서울특별시 양천구 신정동 오구공원,126.8616107,37.52808776,72,83,1078,"(126.8616107, 37.52808776)",216
84,서울특별시 양천구 신정4동 홍익병원 ,126.8635331,37.52862207,159,84,1161,"(126.8635331, 37.52862207)",11
85,서울특별시 양천구 신정동 홍익병원 ,126.8636336,37.52860262,123,85,1163,"(126.8636336, 37.52860262)",1392
86,서울특별시 양천구 신정동 337-16,126.8651986,37.50789003,45,86,0,"(126.8651986, 37.50789003)",137
87,서울특별시 양천구 신정 목동2차우성아파트,126.8664324,37.50793513,43,87,137,"(126.8664324, 37.50793513)",5
88,서울특별시 양천구 신정 목동우성아파트,126.8664646,37.50799471,159,88,140,"(126.8664646, 37.50799471)",2
89,서울특별시 양천구 신정동 우성아파트,126.8664646,37.50796066,56,89,140,"(126.8664646, 37.50796066)",135
