,단속일시,단속장소,X,Y
152,2020.1.6 16:24,서울특별시 양천구 목동 총각네,우편번호없음,x좌표없음
153,2020.1.6 16:28,서울특별시 양천구 목동 현대월드타워,126.8779576,37.5361722
159,2020.1.7 7:02,서울특별시 양천구 목5동목동510동,우편번호없음,x좌표없음
160,2020.1.7 10:13,서울특별시 양천구 신정 목동우성1차아파트,126.8345058,37.50609039
161,2020.1.7 10:13,서울특별시 양천구 신정동 우성아파트,126.8664646,37.50796066
162,2020.1.7 10:35,서울특별시 양천구 신정동 창일교회,126.8510004,37.51292243
163,2020.1.7 11:00,서울특별시 양천구 신정동 래미안 목동아델리체,126.8518658,37.51818367
166,2020.1.7 21:47,서울특별시 양천구 신월7동지양로7길 28-27,126.8304025,37.52180798
167,2020.1.7 23:57,서울특별시 양천구 목1동406-43,126.8741778,37.52563769
170,2020.1.8 10:34,서울특별시 양천구 신월동 팝마트,126.8416981,37.52487529
171,2020.1.8 10:35,서울특별시 양천구 신정동 GS25,우편번호없음,x좌표없음
172,2020.1.8 10:46,서울특별시 양천구 신월동 디아이빌아파트,126.8285687,37.52343383
173,2020.1.8 11:03,서울특별시 양천구 신정동 GS수퍼마켓,우편번호없음,x좌표없음
174,2020.1.8 15:47,서울특별시 양천구 신정동 출입국관리사무소,126.869714,37.5190649
176,2020.1.8 16:06,서울특별시 양천구 목동 우리은행 목동중앙지점,126.879481,37.5363565
177,2020.1.8 16:14,서울특별시 양천구 신월동 신대림빌라,126.835736,37.5280141
180,2020.1.8 16:16,서울특별시 양천구 신월동 현대부동산,126.834418,37.5307603
181,2020.1.8 16:17,서울특별시 양천구 신월동 천성교회,126.838597,37.5286848
182,2020.1.8 16:17,서울특별시 양천구 신월동 빛고을,126.838074,37.5297833
183,2020.1.8 16:17,서울특별시 양천구 신월동 강구PC,126.852259,37.5534171
184,2020.1.8 16:17,서울특별시 양천구 신월동 뿅가곱창,126.838563,37.5286668
185,2020.1.8 16:26,서울특별시 양천구 목극동늘푸른아파트,126.871422,37.5385193
186,2020.1.8 16:35,서울특별시 양천구 신월동 새마음교회,126.835587,37.5340776
187,2020.1.8 16:37,서울특별시 양천구 신월동 짱구PC,126.852189,37.5202334
189,2020.1.8 16:47,서울특별시 양천구 신정동 밀레,126.861915,37.5278317
190,2020.1.8 16:47,서울특별시 양천구 신정동 오구어린이공원,126.86195,37.5273002
191,2020.1.8 16:48,서울특별시 양천구 신월동 코아루아파트,126.829573,37.5317084
192,2020.1.8 16:49,서울특별시 양천구 신정동 CU,우편번호없음,x좌표없음
193,2020.1.8 16:51,서울특별시 양천구 목목동타운,126.874868,37.5282878
194,2020.1.8 17:03,서울특별시 양천구 신정동 산공원,126.869123,37.5078108
195,2020.1.8 17:05,서울특별시 양천구 신정동 하남수퍼,126.857176,37.5273845
196,2020.1.8 17:07,서울특별시 양천구 신정동 성진금속,126.858407,37.5283951
197,2020.1.8 17:08,서울특별시 양천구 신월동 캐슬프라자,126.84707,37.5234074
199,2020.1.8 21:11,서울특별시 양천구 목4동보미리즌빌,126.866318,37.5391353
202,2020.1.9 2:28,서울특별시 양천구 목5동목동615동,126.879867,37.5360326
206,2020.1.9 10:48,서울특별시 양천구 신월동 지양마을,126.826655,37.5218563
207,2020.1.9 11:07,서울특별시 양천구 목목동아파트510동,126.882892,37.5332245
208,2020.1.9 11:08,서울특별시 양천구 목목동아파트514동,126.882892,37.5332245
209,2020.1.9 13:42,서울특별시 양천구 목1동목동동로210,126.864427,37.5273661
211,2020.1.9 16:08,서울특별시 양천구 신월동 신대림주택,126.835736,37.5280141
